FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,AS,,$0,1,Transient non-community system,,,,SKYVIEW - FAGAITUA,,09,,N,0,0,,,,,AS9900097,_____________,,,-14.263817,State Centroid,0,,,,110063353188,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,SUPER M - PAGO,,09,,N,0,0,,,,,AS9900071,_____________,,,-14.263817,State Centroid,0,,,,110063356648,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,T.E.C Inc. - Ottoville,,09,,N,0,1,,,,,AS9900149,____SSSSSS___,,,-14.263817,State Centroid,0,,,,AS9900149,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,T.N.D - Fagaima,,09,,N,0,0,,,,,AS9900147,_____________,,,-14.263817,State Centroid,0,,,,AS9900147,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,TAFUNA MINI MART - TAFUNA,,09,,N,0,0,,,,,AS9900073,_____________,,,-14.263817,State Centroid,0,,,,110063353099,,100000,,-170.66209
60050,,,Y,AS,,$0,1,Community water system,,60050,,TAU-FALEASAO WATER SYSTEM,96799,09,,Y,0,1,CENTER OF FACILITY,PAGO PAGO,,,AS0000034 AS9630243 AS9630344,SSSSSSSSSSSSV,0,220300000003,-14.228147,INTERPOLATION-PHOTO,1,,,96799,110013023450,TA'U ISLAND & FALEASAO VILLAGE - MANU'A,26,AMERICAN SAMOA,-169.512048
,,,Y,AS,,$0,1,Transient non-community system,,,,TIA & FLO STORE - KOKOLAND,,09,,N,0,0,,,,,AS9900032,_____________,,,-14.263817,State Centroid,0,,,,110063333370,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,TJ MART - PETESA,,09,,N,0,0,,,,,AS9900033,_____________,,,-14.263817,State Centroid,0,,,,110063351493,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,TLT STORE (R ) - FAGAALU,,09,,N,0,0,,,,,AS9900015,_____________,,,-14.263817,State Centroid,0,,,,110063335305,,100000,,-170.66209
,,,Y,AS,,$0,1,Transient non-community system,,,,TSM POWERPLANT A (L) - TAFUNA,,09,,N,0,0,,,,,AS9900028,_____________,,,-14.263817,State Centroid,0,,,,110063336698,,100000,,-170.66209
